order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
148,32,51,Prawn Masala,08/11/24,15:58:19,Completed,271
149,4,58,Burger,12/03/23,23:38:35,Pending,378
150,26,27,Paneer Lababdar,24/06/23,09:27:08,Completed,471
151,4,33,Masala Dosa,08/03/24,08:31:02,Cancelled,233
152,9,42,Paneer Lababdar,02/11/24,01:17:38,Pending,569
153,3,14,Chicken Biryani,04/11/24,00:15:03,Completed,344
154,28,21,Chole Bhature,28/09/24,00:32:40,Pending,154
155,4,51,Samosa,28/07/24,18:30:33,Pending,217
156,25,37,Paneer Lababdar,06/07/24,01:18:13,Cancelled,163
157,15,52,Masala Dosa,12/04/24,04:50:06,Completed,220
158,14,16,Egg Curry,23/04/24,08:31:15,Cancelled,320
159,13,54,Prawn Masala,06/02/24,07:08:01,Completed,291
160,16,26,Paneer Butter Masala,11/08/24,16:39:56,Completed,435
161,8,36,Paneer Butter Masala,05/09/23,08:24:31,Cancelled,424
162,8,66,Samosa,31/03/24,14:22:58,Pending,272
163,3,66,Paneer Butter Masala,09/01/23,20:51:36,Pending,209
164,27,44,Samosa,02/06/24,02:13:19,Cancelled,558
165,4,45,Prawn Masala,05/06/23,19:06:50,Completed,262
166,12,50,Chicken Biryani,17/06/23,23:46:49,Completed,490
167,28,23,Paneer Butter Masala,09/03/24,10:13:12,Pending,360
168,19,30,Chicken Biryani,14/01/24,16:19:31,Completed,475
169,7,31,Paneer Lababdar,13/07/23,08:11:17,Pending,269
170,24,2,Samosa,21/10/24,13:27:16,Completed,555
171,14,39,Chole Bhature,09/02/24,14:13:36,Pending,585
172,31,26,Masala Dosa,02/09/24,12:04:59,Pending,164
173,27,6,Paneer Lababdar,24/11/23,02:29:43,Completed,251
174,28,18,Chicken Biryani,18/12/24,14:01:20,Pending,380
175,27,58,Masala Dosa,30/10/23,02:09:42,Cancelled,574
176,24,18,Mutton Rogan Josh,15/02/24,21:16:47,Pending,217
177,14,23,Egg Curry,19/01/23,17:52:10,Cancelled,257
178,16,28,Paneer Butter Masala,19/11/24,04:32:15,Completed,319
179,3,46,Prawn Masala,20/02/24,23:18:39,Cancelled,454
180,26,61,Samosa,16/07/23,14:39:43,Cancelled,160
181,25,36,Egg Curry,26/10/23,18:58:03,Cancelled,425
182,2,60,Pasta Alfredo,28/05/23,15:06:49,Pending,273
183,3,18,Pasta Alfredo,06/10/23,21:17:54,Cancelled,204
184,6,18,Paneer Lababdar,03/09/23,13:08:26,Completed,168
185,7,33,Egg Curry,02/12/24,00:13:00,Cancelled,509
186,15,29,Paneer Butter Masala,16/10/24,06:01:18,Cancelled,463
187,22,67,Pasta Alfredo,05/02/24,15:15:43,Cancelled,269
188,19,43,Chole Bhature,13/04/23,17:53:18,Completed,156
189,19,68,Prawn Masala,19/05/24,02:21:29,Pending,497
190,28,49,Prawn Masala,14/12/23,14:26:25,Completed,264
191,4,39,Prawn Masala,07/04/23,00:34:43,Cancelled,600
192,21,8,Prawn Masala,18/12/24,15:58:19,Cancelled,362
193,1,46,Chicken Biryani,26/04/23,17:30:54,Cancelled,182
194,32,40,Mutton Rogan Josh,28/10/23,16:34:29,Completed,266
195,20,58,Paneer Lababdar,20/04/24,18:39:28,Completed,375
196,9,57,Masala Dosa,28/01/24,03:22:47,Completed,536
197,9,29,Chole Bhature,11/12/24,12:52:24,Pending,310
198,10,62,Samosa,21/07/23,02:50:31,Pending,168
199,7,55,Paneer Lababdar,05/05/23,05:50:33,Cancelled,187
200,32,3,Mutton Rogan Josh,21/07/24,13:42:40,Completed,361
201,3,37,Burger,11/11/24,07:55:51,Completed,389
202,10,63,Paneer Butter Masala,23/07/24,04:17:22,Cancelled,521
203,21,2,Burger,17/03/24,10:54:42,Pending,265
204,26,7,Masala Dosa,26/12/24,16:57:48,Pending,315
205,26,63,Chole Bhature,14/10/23,03:05:39,Completed,483
206,30,61,Prawn Masala,30/11/23,08:25:36,Cancelled,314
207,3,68,Masala Dosa,22/02/23,18:17:27,Cancelled,417
208,24,47,Burger,16/10/23,23:39:45,Pending,266
209,20,40,Pasta Alfredo,29/06/23,03:33:56,Cancelled,262
210,7,8,Samosa,01/10/23,10:32:39,Cancelled,478
211,14,14,Egg Curry,23/12/24,23:48:53,Pending,558
212,28,22,Mutton Rogan Josh,06/03/24,06:26:26,Pending,201
213,24,16,Chicken Biryani,04/06/24,01:27:10,Pending,550
214,26,7,Chole Bhature,11/12/24,22:19:19,Pending,488
215,23,17,Burger,06/04/24,02:04:01,Pending,259
216,32,53,Pasta Alfredo,28/02/23,06:35:49,Pending,348
217,22,55,Samosa,25/01/23,22:15:32,Completed,194
218,12,33,Paneer Lababdar,09/06/24,05:21:08,Completed,252
219,31,33,Masala Dosa,15/07/24,01:07:27,Completed,196
220,21,6,Masala Dosa,03/03/23,18:42:20,Completed,199
221,19,59,Samosa,15/08/24,04:46:19,Completed,525
222,20,61,Prawn Masala,28/11/24,09:54:33,Completed,292
223,10,39,Chole Bhature,22/06/23,03:14:14,Completed,405
224,7,37,Chicken Biryani,23/08/23,02:58:01,Completed,246
225,27,43,Pasta Alfredo,01/03/23,15:48:38,Completed,574
226,16,10,Chicken Biryani,05/11/24,15:08:38,Completed,211
227,22,5,Pasta Alfredo,22/06/24,10:15:07,Cancelled,564
228,31,33,Samosa,16/03/23,00:07:38,Cancelled,598
229,31,53,Paneer Lababdar,31/10/24,12:56:01,Completed,512
230,27,55,Prawn Masala,02/08/24,18:30:39,Completed,440
231,16,42,Paneer Lababdar,27/09/24,16:17:58,Cancelled,273
232,12,27,Burger,16/10/23,06:40:30,Completed,369
233,10,55,Paneer Butter Masala,14/07/23,02:42:07,Completed,320
234,29,38,Mutton Rogan Josh,09/09/23,10:40:40,Cancelled,531
235,21,44,Samosa,14/03/24,23:50:20,Cancelled,188
236,1,1,Burger,12/12/24,17:24:30,Cancelled,377
237,15,33,Burger,03/11/23,19:57:33,Cancelled,393
238,30,33,Burger,24/11/23,08:04:29,Pending,463
239,27,52,Mutton Rogan Josh,21/05/24,00:40:38,Pending,302
240,6,68,Mutton Rogan Josh,10/04/24,15:05:26,Pending,282
241,15,46,Pasta Alfredo,07/05/24,14:03:58,Completed,473
242,11,9,Pasta Alfredo,11/01/23,22:45:17,Pending,295
243,19,61,Pasta Alfredo,08/03/24,14:08:00,Completed,579
244,11,5,Pasta Alfredo,09/08/24,01:23:43,Cancelled,190
245,28,60,Burger,03/04/23,00:32:17,Pending,217
246,28,24,Paneer Lababdar,01/06/23,11:09:31,Completed,357
247,20,35,Mutton Rogan Josh,25/06/24,18:01:35,Completed,342
248,32,30,Burger,02/04/24,10:31:18,Cancelled,486
249,7,66,Burger,12/11/23,18:24:48,Completed,368
250,4,56,Prawn Masala,03/01/23,20:43:24,Cancelled,461
251,10,7,Paneer Butter Masala,09/07/24,14:58:59,Cancelled,367
252,17,24,Chole Bhature,02/04/24,16:48:21,Pending,366
253,21,58,Paneer Butter Masala,01/04/24,07:28:52,Pending,511
254,16,61,Mutton Rogan Josh,04/12/24,07:06:55,Completed,215
255,21,27,Egg Curry,26/08/24,21:56:53,Cancelled,162
256,4,65,Masala Dosa,21/03/24,15:35:53,Cancelled,386
257,30,40,Chole Bhature,24/10/23,19:14:57,Pending,308
258,7,28,Masala Dosa,30/04/23,17:08:33,Pending,159
259,9,44,Masala Dosa,15/01/24,16:39:37,Cancelled,574
260,7,19,Chicken Biryani,12/02/24,17:55:11,Pending,272
261,19,24,Egg Curry,31/03/24,04:46:20,Completed,256
262,11,35,Chicken Biryani,01/06/24,10:24:08,Pending,297
263,8,54,Prawn Masala,28/04/23,11:18:53,Pending,198
264,5,14,Burger,25/11/24,13:59:52,Completed,433
265,3,21,Chicken Biryani,12/07/24,12:53:34,Pending,500
266,11,49,Samosa,27/08/24,00:50:41,Pending,498
267,26,14,Chole Bhature,20/02/24,21:27:19,Cancelled,589
268,18,29,Pasta Alfredo,12/11/23,14:18:11,Completed,313
269,26,5,Samosa,20/07/23,08:32:08,Cancelled,537
270,6,64,Paneer Lababdar,22/09/24,01:34:57,Cancelled,248
271,10,49,Chicken Biryani,21/05/24,09:35:23,Cancelled,390
272,20,61,Masala Dosa,06/01/23,19:55:22,Pending,242
273,12,48,Masala Dosa,23/03/23,17:52:41,Cancelled,389
274,1,52,Chole Bhature,26/07/23,12:36:49,Pending,544
275,32,10,Chicken Biryani,20/02/24,20:18:13,Completed,309
276,9,45,Pasta Alfredo,18/05/24,08:44:56,Cancelled,319
277,31,16,Mutton Rogan Josh,27/11/23,16:28:56,Pending,600
278,8,53,Samosa,20/09/23,17:51:44,Pending,480
279,31,33,Pasta Alfredo,17/11/23,19:01:08,Completed,369
280,6,24,Samosa,14/06/24,23:28:22,Pending,426
281,21,38,Samosa,21/04/24,18:33:37,Cancelled,469
282,18,55,Paneer Butter Masala,19/08/24,08:37:03,Pending,169
283,31,4,Samosa,05/05/24,22:02:23,Cancelled,279
284,7,9,Burger,17/08/24,03:35:43,Completed,316
285,6,30,Mutton Rogan Josh,15/09/24,10:05:07,Completed,441
286,16,22,Masala Dosa,11/12/24,06:31:28,Cancelled,254
287,15,43,Chicken Biryani,21/07/23,08:27:14,Pending,306
288,14,44,Prawn Masala,01/09/23,07:12:07,Pending,228
289,17,23,Pasta Alfredo,04/01/23,14:29:27,Completed,457
290,27,25,Pasta Alfredo,20/03/23,13:33:57,Cancelled,324
291,6,21,Egg Curry,16/01/23,13:15:45,Completed,587
292,21,58,Masala Dosa,27/11/23,20:04:50,Completed,355
293,2,40,Paneer Lababdar,21/08/23,12:51:49,Pending,363
294,8,2,Pasta Alfredo,10/11/24,20:11:23,Pending,183
295,6,59,Egg Curry,20/07/24,18:22:26,Pending,270
296,16,11,Samosa,20/02/24,02:14:48,Cancelled,181
297,3,30,Samosa,24/02/24,03:13:56,Pending,472
298,5,25,Masala Dosa,13/02/24,16:24:54,Pending,544
299,31,46,Samosa,14/06/24,07:47:58,Cancelled,571
300,11,17,Samosa,09/05/24,00:33:42,Completed,318
301,15,50,Masala Dosa,22/08/23,11:00:00,Completed,349
302,19,50,Prawn Masala,12/10/23,11:15:06,Pending,578
303,12,29,Samosa,11/06/23,14:38:22,Completed,236
304,30,16,Chole Bhature,11/01/23,13:25:30,Completed,452
305,15,23,Pasta Alfredo,19/06/24,23:06:09,Pending,414
306,16,19,Chicken Biryani,11/07/24,05:23:33,Completed,221
307,1,12,Mutton Rogan Josh,08/02/24,01:39:06,Cancelled,294
308,31,59,Egg Curry,19/11/23,07:22:41,Pending,542
309,7,58,Pasta Alfredo,21/05/24,19:17:56,Completed,443
310,23,23,Mutton Rogan Josh,13/11/23,10:40:11,Completed,469
311,19,68,Chicken Biryani,28/01/24,11:48:15,Cancelled,419
312,22,65,Paneer Lababdar,05/05/24,13:27:43,Pending,484
313,16,31,Burger,17/12/23,16:19:50,Completed,500
314,12,12,Masala Dosa,11/02/23,19:42:48,Cancelled,543
315,14,30,Chole Bhature,16/11/23,01:12:24,Cancelled,255
316,30,21,Pasta Alfredo,27/01/24,20:40:16,Pending,525
317,21,22,Egg Curry,02/01/24,08:01:02,Cancelled,151
318,30,14,Mutton Rogan Josh,21/08/23,06:55:59,Pending,157
319,24,59,Egg Curry,13/07/24,23:24:24,Cancelled,347
320,12,67,Egg Curry,06/10/23,05:44:40,Cancelled,532
321,30,15,Pasta Alfredo,29/09/24,19:29:31,Pending,560
322,28,13,Chicken Biryani,03/09/24,06:53:46,Cancelled,389
323,3,23,Masala Dosa,02/05/24,12:30:05,Completed,469
324,20,66,Paneer Butter Masala,16/06/24,02:43:42,Completed,548
325,2,53,Chicken Biryani,06/07/24,16:38:29,Pending,293
326,22,4,Egg Curry,17/02/24,01:52:53,Completed,538
327,4,56,Chole Bhature,20/06/23,12:27:25,Completed,311
328,22,31,Masala Dosa,14/10/24,09:44:18,Completed,153
329,25,53,Pasta Alfredo,22/12/24,18:51:10,Completed,438
330,19,31,Paneer Butter Masala,09/07/24,14:02:23,Completed,439
331,3,54,Egg Curry,18/02/24,03:48:37,Pending,402
332,16,61,Burger,27/02/23,00:49:53,Pending,576
333,13,30,Burger,16/08/23,09:17:16,Cancelled,477
334,29,30,Prawn Masala,25/06/23,20:30:52,Cancelled,592
335,19,22,Chicken Biryani,14/04/23,20:28:20,Pending,452
336,7,52,Chole Bhature,08/09/23,00:52:37,Cancelled,246
337,17,47,Paneer Lababdar,18/10/24,06:34:17,Pending,213
338,25,27,Pasta Alfredo,01/03/23,15:24:09,Pending,321
339,4,65,Pasta Alfredo,03/09/24,04:11:24,Cancelled,539
340,8,47,Chicken Biryani,01/12/24,10:32:12,Cancelled,475
341,13,65,Egg Curry,09/10/23,06:57:27,Pending,237
342,21,47,Paneer Butter Masala,27/05/23,03:30:11,Completed,459
343,8,43,Chicken Biryani,09/10/24,00:29:41,Pending,154
344,18,23,Samosa,07/01/23,01:32:28,Pending,500
345,22,33,Samosa,12/05/23,16:46:39,Pending,243
346,20,62,Burger,27/04/23,23:24:30,Pending,482
347,21,8,Egg Curry,30/04/24,21:21:02,Pending,587
348,15,48,Paneer Butter Masala,10/03/23,12:19:01,Cancelled,357
349,23,18,Pasta Alfredo,08/06/24,04:25:00,Cancelled,351
350,27,57,Paneer Lababdar,15/10/24,13:27:45,Completed,224
351,12,40,Samosa,26/06/23,10:10:45,Pending,405
352,14,50,Prawn Masala,17/08/23,07:33:18,Pending,279
353,11,63,Chicken Biryani,15/05/23,15:59:52,Pending,413
354,7,21,Burger,18/10/24,13:09:04,Completed,317
355,1,22,Egg Curry,01/10/23,06:22:20,Completed,504
356,13,14,Pasta Alfredo,12/11/24,20:20:39,Pending,332
357,5,58,Samosa,28/03/23,00:25:33,Completed,537
358,9,55,Prawn Masala,23/11/24,05:02:31,Pending,439
359,19,54,Masala Dosa,19/06/24,22:15:30,Cancelled,493
360,12,46,Mutton Rogan Josh,04/01/23,19:30:25,Completed,178
361,19,14,Prawn Masala,28/05/23,05:02:58,Cancelled,530
362,2,53,Egg Curry,24/01/24,18:25:16,Pending,554
363,29,21,Paneer Butter Masala,10/04/24,14:38:11,Cancelled,272
364,25,3,Mutton Rogan Josh,24/07/24,20:56:05,Cancelled,519
365,22,59,Burger,20/11/23,21:54:38,Completed,559
366,7,13,Egg Curry,01/03/23,21:53:25,Completed,506
367,30,4,Burger,04/10/23,12:12:08,Pending,213
368,24,54,Paneer Lababdar,07/07/24,07:50:32,Cancelled,363
369,8,22,Paneer Lababdar,17/04/23,08:42:59,Completed,577
370,27,66,Egg Curry,29/01/23,16:11:04,Cancelled,499
371,28,35,Egg Curry,22/05/23,18:53:39,Pending,371
372,22,48,Samosa,20/12/24,13:47:34,Cancelled,197
373,4,48,Mutton Rogan Josh,18/09/24,20:59:17,Completed,262
374,32,29,Egg Curry,27/10/24,03:25:01,Completed,389
375,31,34,Chicken Biryani,17/10/24,01:39:38,Completed,381
376,6,17,Paneer Lababdar,23/02/23,08:21:25,Cancelled,383
377,6,57,Burger,06/05/23,01:06:55,Cancelled,410
378,15,39,Paneer Butter Masala,11/06/24,00:35:44,Completed,448
379,23,52,Chole Bhature,06/04/23,09:32:17,Completed,270
380,18,14,Chole Bhature,09/08/23,02:50:32,Cancelled,533
381,19,6,Masala Dosa,25/09/23,09:34:39,Pending,293
382,2,48,Chole Bhature,16/07/23,16:16:26,Cancelled,276
383,11,15,Paneer Lababdar,03/12/23,21:31:19,Pending,546
384,31,38,Egg Curry,22/06/24,11:05:58,Cancelled,263
385,7,7,Burger,23/10/23,12:15:27,Cancelled,353
386,5,32,Burger,23/09/24,20:39:22,Pending,515
387,12,5,Burger,22/09/24,05:11:04,Cancelled,204
388,7,23,Pasta Alfredo,16/01/24,19:03:31,Pending,238
389,21,10,Masala Dosa,02/05/23,22:00:04,Completed,420
390,32,32,Samosa,20/03/24,08:23:29,Pending,286
391,9,60,Paneer Butter Masala,14/08/24,04:09:23,Cancelled,334
392,31,34,Egg Curry,07/02/24,01:46:44,Completed,522
393,11,58,Prawn Masala,12/03/24,14:08:47,Cancelled,194
394,12,11,Masala Dosa,14/02/24,10:49:38,Completed,234
395,8,19,Mutton Rogan Josh,24/01/23,07:45:12,Pending,267
396,18,14,Prawn Masala,03/08/23,23:16:48,Pending,254
397,4,56,Paneer Butter Masala,17/05/23,07:07:44,Pending,230
398,3,53,Masala Dosa,11/08/24,11:23:43,Completed,437
399,18,54,Prawn Masala,11/02/23,14:32:01,Completed,446
400,13,3,Burger,01/05/24,01:13:41,Pending,557
401,2,38,Chole Bhature,06/07/24,01:15:11,Pending,414
402,8,30,Mutton Rogan Josh,07/05/23,12:16:57,Completed,313
403,23,21,Pasta Alfredo,05/09/23,13:16:12,Pending,292
404,24,17,Chole Bhature,06/08/24,03:55:22,Cancelled,501
405,12,17,Paneer Butter Masala,03/10/24,07:04:33,Cancelled,326
406,10,10,Mutton Rogan Josh,11/02/23,04:09:27,Cancelled,412
407,22,5,Chole Bhature,28/04/24,17:29:27,Completed,303
408,10,14,Burger,22/06/23,10:52:22,Cancelled,172
409,22,66,Burger,13/01/24,10:51:46,Pending,536
410,7,11,Mutton Rogan Josh,10/12/23,16:10:32,Completed,330
411,22,62,Burger,02/04/23,22:37:13,Completed,450
412,11,2,Chicken Biryani,13/11/24,22:47:20,Completed,575
413,17,38,Samosa,23/03/23,07:22:18,Completed,266
414,20,29,Pasta Alfredo,12/02/23,14:50:28,Cancelled,438
415,1,7,Paneer Lababdar,09/09/24,03:35:22,Cancelled,258
416,15,35,Mutton Rogan Josh,20/08/23,08:30:02,Cancelled,595
417,5,7,Chole Bhature,02/07/24,06:47:40,Cancelled,395
418,17,41,Chole Bhature,06/12/23,12:30:53,Completed,193
419,19,33,Prawn Masala,28/11/24,18:21:44,Cancelled,235
420,29,59,Paneer Butter Masala,02/05/24,22:08:04,Pending,489
421,10,41,Mutton Rogan Josh,25/06/23,19:50:09,Pending,179
