delivery_id,order_id,delivery_status,delivery_time,rider_id
65,8917,Delivered,13:22:25,12
66,3096,Delivered,10:50:11,9
67,2702,Order,09:42:02,14
68,2644,Order,17:52:47,15
69,2310,Not Delivered,21:59:03,27
70,7140,Delivered,19:42:16,30
71,3080,Delivered,09:12:08,7
72,9006,Not Delivered,03:05:01,7
73,6972,Order,07:37:16,20
74,8670,Not Delivered,21:25:28,24
75,8183,Delivered,10:50:40,1
76,7145,Order,13:55:17,12
77,22,Delivered,20:33:03,25
78,4382,Delivered,00:27:41,26
79,8262,Delivered,14:07:57,30
80,1316,Delivered,22:14:05,30
81,4467,Not Delivered,08:26:11,9
82,8859,Order,04:29:21,27
83,2984,Delivered,00:59:59,19
84,7865,Order,17:27:30,16
85,7983,Not Delivered,13:07:09,31
86,7671,Delivered,12:18:28,18
87,3987,Not Delivered,10:34:51,32
88,5504,Delivered,06:56:39,21
89,9031,Order,04:10:08,26
90,9599,Delivered,11:48:37,24
91,3837,Order,19:13:21,1
92,4586,Delivered,13:06:51,16
93,942,Order,07:35:10,4
94,3183,Order,08:52:06,33
95,4630,Order,08:17:40,32
96,3093,Not Delivered,10:03:19,6
97,88,Delivered,09:11:25,10
98,9236,Order,02:54:07,17
99,2846,Order,15:59:14,30
100,9653,Delivered,09:09:24,24
101,6844,Order,11:47:57,13
102,7849,Order,23:39:05,16
103,9394,Order,22:05:02,21
104,9820,Delivered,05:12:12,17
105,2072,Order,21:36:20,2
106,2316,Delivered,14:56:55,18
107,7187,Not Delivered,05:13:21,12
108,7049,Order,18:09:25,1
109,2860,Delivered,07:23:07,17
110,1822,Delivered,16:44:43,32
111,4314,Delivered,14:59:47,4
112,8527,Not Delivered,15:38:17,6
113,5453,Not Delivered,08:00:47,5
114,8528,Delivered,02:03:56,27
115,6070,Delivered,13:44:00,16
116,8159,Order,07:51:23,10
117,1307,Delivered,21:41:17,28
118,3554,Not Delivered,03:16:35,28
119,5203,Order,00:49:35,9
120,684,Not Delivered,20:00:27,7
121,9545,Not Delivered,16:14:56,23
122,3512,Not Delivered,23:32:05,10
123,5675,Not Delivered,21:07:16,31
124,8668,Order,11:34:39,13
125,3545,Not Delivered,08:09:54,33
126,5961,Order,04:30:20,11
127,6992,Order,20:04:33,9
128,7253,Order,15:39:31,10
129,4797,Delivered,00:19:37,10
130,746,Order,09:10:02,20
131,7004,Delivered,03:52:37,14
132,6373,Not Delivered,07:15:09,28
133,2598,Delivered,11:06:39,6
134,7893,Delivered,05:24:29,14
135,8144,Not Delivered,21:14:56,33
136,7739,Not Delivered,21:34:49,23
137,1161,Order,04:40:42,15
138,8736,Order,11:07:14,26
139,4896,Delivered,10:19:30,21
140,235,Delivered,08:26:51,17
141,5469,Not Delivered,07:53:49,8
142,6107,Not Delivered,02:15:10,32
143,5607,Delivered,08:22:10,22
144,6008,Not Delivered,00:44:56,30
145,5536,Order,08:17:01,19
146,470,Delivered,21:09:57,30
147,9910,Order,17:16:36,17
148,7935,Delivered,16:12:48,29
149,1061,Order,21:55:20,6
150,684,Not Delivered,19:08:49,24
151,6219,Not Delivered,10:58:41,16
152,1975,Order,00:29:17,29
153,6514,Order,08:49:25,12
154,2547,Order,00:05:37,7
155,1405,Delivered,16:57:57,18
156,2057,Order,20:35:23,3
157,4095,Order,21:05:34,13
158,8883,Not Delivered,00:09:07,9
159,1006,Not Delivered,14:50:51,5
160,3995,Delivered,23:35:29,21
161,7262,Order,05:00:44,30
162,4811,Delivered,17:11:06,24
163,5293,Order,16:46:34,11
164,2377,Delivered,04:48:15,24
165,2,Not Delivered,19:21:52,30
166,6702,Order,03:37:06,3
167,5276,Order,16:33:05,29
168,4071,Not Delivered,21:36:01,11
169,4666,Delivered,08:33:27,19
170,5502,Order,15:56:43,18
171,9232,Order,07:14:29,27
172,7616,Not Delivered,19:29:16,2
173,6167,Not Delivered,22:41:35,5
174,2489,Not Delivered,10:32:58,5
175,8313,Not Delivered,17:22:47,32
176,1585,Not Delivered,09:20:08,30
177,5859,Order,13:41:52,28
178,6315,Delivered,02:16:59,30
179,8911,Not Delivered,04:24:03,11
180,8828,Not Delivered,11:25:23,32
181,6957,Order,11:57:48,31
182,2548,Order,05:47:12,17
183,8142,Not Delivered,16:41:14,18
184,589,Delivered,23:38:14,14
185,5803,Delivered,00:21:58,31
186,7249,Order,18:34:19,5
187,8552,Order,01:06:08,24
188,6917,Not Delivered,05:48:51,19
189,2683,Order,22:36:29,11
190,2825,Order,19:13:08,3
191,5566,Not Delivered,16:35:50,5
192,6217,Delivered,13:19:35,25
193,9927,Order,03:07:36,18
194,9375,Delivered,16:20:33,10
195,9086,Not Delivered,23:42:47,14
196,3407,Order,19:54:54,12
197,6440,Not Delivered,05:39:08,33
198,631,Not Delivered,23:39:09,29
199,3566,Order,18:56:42,31
200,7970,Not Delivered,22:11:09,17
201,6034,Order,20:25:01,2
202,7452,Order,04:26:05,1
203,5749,Order,02:16:41,15
204,266,Order,15:55:44,14
205,8742,Order,17:32:10,10
206,2817,Order,01:52:39,2
207,6116,Not Delivered,00:27:22,24
208,103,Not Delivered,11:28:38,22
209,4777,Not Delivered,12:29:48,19
210,1145,Order,22:24:50,27
211,6095,Not Delivered,03:27:59,4
212,3229,Not Delivered,16:22:43,5
213,3825,Delivered,02:20:03,4
214,6631,Order,16:51:54,15
215,9364,Order,01:46:52,3
216,353,Order,19:57:15,28
217,3603,Order,11:47:19,12
218,897,Not Delivered,10:01:25,29
219,6872,Delivered,05:03:39,33
220,6504,Order,14:48:59,1
221,7935,Delivered,07:02:43,26
222,6371,Not Delivered,06:21:56,19
223,2526,Order,11:29:03,15
224,6903,Order,20:17:28,28
225,6125,Order,05:07:15,5
226,4162,Delivered,06:14:42,9
227,5157,Order,06:42:51,28
228,3294,Not Delivered,18:29:06,16
229,6323,Order,13:28:33,4
230,3206,Not Delivered,14:13:30,12
231,3724,Not Delivered,04:41:09,21
232,4121,Not Delivered,01:04:50,14
233,8399,Not Delivered,21:23:28,18
234,8294,Not Delivered,22:52:56,32
235,8646,Order,00:45:49,32
236,6227,Delivered,03:36:26,22
237,7669,Delivered,07:44:09,13
238,7093,Not Delivered,18:23:14,18
239,7988,Delivered,09:57:49,30
240,1561,Not Delivered,05:32:15,13
241,6785,Order,10:13:09,34
242,4190,Not Delivered,11:05:14,26
243,9457,Order,21:40:28,3
244,8000,Not Delivered,17:53:55,13
245,5867,Order,05:16:48,26
246,1325,Not Delivered,09:31:32,34
247,2916,Delivered,12:31:36,14
248,7754,Not Delivered,13:34:29,9
249,8906,Not Delivered,10:44:51,28
250,2152,Not Delivered,12:32:25,33
251,9812,Order,08:22:58,29
252,5330,Delivered,13:07:26,2
253,9614,Delivered,22:30:23,2
254,620,Order,05:26:48,29
255,5488,Order,18:29:09,21
256,5907,Order,01:46:15,9
257,1421,Delivered,06:39:41,30
258,402,Delivered,20:33:24,3
259,3442,Not Delivered,14:10:20,3
260,7311,Not Delivered,22:32:21,3
261,4440,Order,07:25:21,12
262,1018,Not Delivered,06:05:17,3
263,4739,Not Delivered,21:22:08,27
264,2687,Not Delivered,05:21:22,20
265,4161,Order,05:57:12,4
266,6388,Not Delivered,18:23:59,20
267,6735,Delivered,09:27:27,20
268,3532,Delivered,12:15:37,33
269,6884,Not Delivered,12:45:00,11
270,6779,Order,03:54:31,7
271,1903,Not Delivered,20:18:56,5
272,4926,Delivered,22:53:55,15
273,2867,Not Delivered,17:35:27,8
274,1354,Order,06:19:21,3
275,9437,Order,00:03:39,21
276,9534,Order,13:19:14,1
277,1922,Not Delivered,20:53:24,29
278,7172,Not Delivered,03:14:32,12
279,4746,Order,07:22:37,6
280,2962,Delivered,16:27:14,24
281,2888,Order,20:47:59,29
282,8029,Order,15:50:41,21
283,616,Order,14:05:07,7
284,6818,Not Delivered,08:44:27,2
285,8776,Not Delivered,00:59:40,30
286,4036,Order,06:55:12,8
287,7494,Delivered,00:13:20,16
288,1773,Not Delivered,04:29:40,12
289,2847,Not Delivered,21:11:26,7
290,5015,Not Delivered,08:15:25,1
291,7309,Not Delivered,12:35:30,13
292,3081,Not Delivered,01:07:19,1
293,1204,Delivered,11:17:50,33
294,1348,Order,05:34:59,25
295,202,Delivered,05:42:10,1
296,5970,Not Delivered,05:11:19,4
297,8321,Order,10:53:07,31
298,3420,Delivered,10:20:40,1
299,9216,Delivered,05:43:45,17
300,9345,Order,01:13:43,3
301,8955,Order,09:57:29,2
302,8996,Delivered,08:31:30,18
303,4229,Not Delivered,13:48:29,6
304,411,Order,11:17:20,20
305,8846,Order,06:07:13,32
306,298,Delivered,16:12:20,4
307,1714,Not Delivered,16:41:11,30
308,8597,Delivered,02:57:31,13
309,8102,Delivered,18:22:43,15
310,2450,Delivered,19:27:57,15
311,4620,Not Delivered,05:14:20,5
312,6682,Order,07:43:21,7
313,9839,Delivered,20:09:51,4
314,2456,Order,03:45:28,11
315,2012,Order,17:30:32,6
316,5147,Not Delivered,20:41:37,2
317,7230,Not Delivered,23:53:47,21
318,3290,Order,04:35:05,12
319,6905,Order,14:20:27,12
320,1519,Not Delivered,04:51:49,12
321,268,Order,20:41:19,32
322,7760,Not Delivered,02:26:33,30
323,6709,Not Delivered,11:39:54,15
324,7570,Delivered,09:39:42,4
325,8810,Not Delivered,18:48:13,11
326,5700,Delivered,06:00:08,28
327,5488,Order,21:56:13,29
328,8091,Order,10:01:54,2
329,9773,Not Delivered,14:21:38,5
330,4508,Order,23:24:53,11
331,8392,Not Delivered,23:06:50,28
332,91,Delivered,04:33:09,19
333,5707,Not Delivered,04:19:57,10
334,5191,Order,11:02:17,25
335,8101,Order,01:08:27,4
336,5002,Order,22:00:54,14
337,5280,Delivered,22:14:56,14
338,2866,Delivered,01:18:15,5
339,724,Delivered,19:15:54,25
340,2506,Order,02:59:17,33
341,9065,Delivered,23:41:27,1
342,4572,Not Delivered,09:00:01,7
343,720,Not Delivered,20:15:04,6
344,6053,Delivered,15:20:23,34
345,1016,Order,07:44:02,5
346,1401,Order,01:06:34,17
347,3670,Order,05:13:45,13
348,9422,Not Delivered,20:39:29,7
349,8009,Order,12:34:39,14
350,4154,Not Delivered,13:03:21,13
351,1537,Delivered,08:53:59,9
352,5289,Order,20:22:32,26
353,4448,Order,17:40:14,26
354,701,Not Delivered,21:02:24,22
355,9577,Order,22:02:15,8
356,5880,Delivered,15:08:41,18
357,8553,Not Delivered,03:56:33,14
358,9359,Not Delivered,16:58:10,21
359,8214,Delivered,20:28:57,16
360,3770,Not Delivered,03:31:03,33
361,8298,Delivered,10:29:10,23
362,7990,Not Delivered,09:23:35,22
363,8648,Order,13:38:01,3
364,734,Order,13:12:22,3
365,575,Not Delivered,18:53:43,19
366,5546,Not Delivered,00:20:10,20
367,2837,Not Delivered,00:27:05,19
368,2357,Delivered,16:40:55,5
369,7569,Not Delivered,16:27:22,31
370,2010,Order,01:46:20,14
371,8012,Not Delivered,10:37:35,6
372,8263,Order,09:45:59,25
373,448,Order,08:48:35,17
374,8311,Delivered,18:58:37,17
375,8318,Order,01:22:07,6
376,3544,Order,09:57:30,12
377,6416,Order,22:20:59,13
378,3994,Delivered,01:34:26,33
379,299,Order,08:18:18,26
380,7235,Order,05:10:03,26
381,7565,Not Delivered,04:39:26,24
382,6470,Order,22:43:07,16
383,2689,Delivered,00:14:29,1
384,4612,Delivered,21:48:45,9
385,4673,Delivered,08:48:06,23
386,1245,Not Delivered,10:16:39,28
387,8997,Delivered,08:27:54,18
388,2195,Not Delivered,12:15:01,24
389,1220,Not Delivered,16:57:17,17
390,8853,Order,11:33:01,19
391,7094,Delivered,13:51:15,20
392,4864,Order,01:33:37,33
393,1181,Order,14:49:03,16
394,9675,Delivered,16:08:43,24
395,8251,Delivered,23:46:58,25
396,4007,Not Delivered,11:58:10,26
397,1127,Not Delivered,21:20:13,13
398,3511,Delivered,02:05:38,6
399,2313,Delivered,05:50:24,8
400,5726,Delivered,15:08:09,28
401,1595,Not Delivered,20:53:38,30
402,8360,Order,13:08:44,21
403,224,Not Delivered,19:53:30,30
404,2525,Not Delivered,13:16:45,10
405,1186,Not Delivered,07:36:27,34
406,4818,Not Delivered,05:34:36,27
407,1424,Order,01:25:56,5
408,5208,Order,05:50:22,32
409,937,Delivered,02:46:56,10
410,530,Delivered,21:40:06,14
411,5137,Order,05:32:02,23
412,3666,Order,23:48:22,5
413,1952,Order,10:54:41,10
414,1400,Delivered,03:39:25,10
415,6116,Not Delivered,15:34:36,33
416,5576,Delivered,11:23:20,7
417,6063,Delivered,17:02:45,24
418,7966,Order,22:35:28,9
419,3780,Not Delivered,01:51:39,3
420,1533,Order,20:32:40,13
421,3650,Order,09:10:47,4
422,6618,Not Delivered,23:12:27,28
423,9751,Order,21:15:37,20
424,6588,Order,21:23:23,26
425,4701,Order,00:41:31,33
426,5368,Delivered,11:16:20,24
427,6353,Not Delivered,19:38:56,11
428,6870,Order,21:29:09,21
429,935,Delivered,06:00:24,9
430,5997,Order,14:38:58,16
431,7884,Order,23:23:02,24
432,8248,Not Delivered,19:29:05,2
433,7003,Delivered,15:03:39,13
434,4362,Not Delivered,22:03:47,26
435,8743,Not Delivered,13:27:43,7
436,3804,Order,14:12:10,30
437,1568,Order,00:12:07,10
438,4922,Not Delivered,05:22:36,12
439,9678,Not Delivered,08:49:07,8
440,4,Not Delivered,08:37:38,22
441,1203,Delivered,06:19:19,16
442,6349,Order,13:59:33,34
443,1015,Delivered,02:30:50,4
444,7527,Delivered,10:49:31,12
445,7562,Delivered,13:56:27,15
446,200,Not Delivered,05:22:19,21
447,1840,Delivered,05:05:18,23
448,3392,Delivered,10:54:41,18
449,5834,Not Delivered,04:16:44,16
450,5793,Delivered,13:51:54,9
451,5193,Delivered,23:56:35,17
452,7703,Not Delivered,16:12:10,18
453,7543,Delivered,02:30:42,25
454,624,Delivered,06:16:49,3
455,4438,Not Delivered,08:28:31,30
456,374,Delivered,06:19:36,8
457,8463,Delivered,10:51:00,25
458,7876,Not Delivered,23:40:52,17
459,3753,Not Delivered,08:34:26,14
460,9563,Not Delivered,15:53:28,20
461,6335,Not Delivered,02:14:49,14
462,2579,Order,06:06:01,15
463,813,Order,06:42:05,2
464,4726,Delivered,12:56:52,9
465,2297,Order,13:19:22,31
466,3647,Not Delivered,23:24:28,27
467,8742,Not Delivered,05:31:27,15
468,7096,Not Delivered,09:47:42,29
469,5188,Not Delivered,20:24:02,8
470,7604,Delivered,21:58:17,7
471,527,Not Delivered,18:34:55,24
472,834,Order,12:39:01,5
473,2914,Order,22:55:31,32
474,709,Order,09:53:06,3
475,7481,Not Delivered,21:39:58,25
476,7759,Order,06:13:35,16
477,3421,Delivered,08:06:29,26
478,5527,Delivered,22:54:11,9
479,619,Order,00:57:17,2
480,8629,Order,14:04:40,31
481,7154,Delivered,16:41:44,24
482,6280,Order,19:05:18,23
483,3649,Order,03:32:17,25
484,4333,Delivered,21:58:53,1
485,7331,Delivered,06:57:01,24
486,5624,Delivered,11:37:09,17
487,6301,Not Delivered,03:11:45,1
488,4821,Not Delivered,15:27:41,23
489,8888,Not Delivered,14:25:10,13
490,1827,Order,11:11:02,30
491,9227,Not Delivered,23:25:12,2
492,1577,Delivered,19:05:09,26
493,3819,Order,03:46:22,14
494,9708,Order,15:12:42,11
495,3526,Order,12:46:56,13
496,2672,Not Delivered,02:15:03,27
497,7556,Delivered,22:24:18,5
498,115,Order,17:00:23,12
499,6134,Delivered,22:18:36,23
500,507,Not Delivered,20:21:32,17
501,5133,Not Delivered,05:41:45,18
502,5478,Order,04:38:50,32
503,7584,Delivered,10:43:45,8
504,3054,Delivered,12:39:50,30
505,2466,Order,18:54:45,27
506,6637,Delivered,07:41:57,15
507,6682,Not Delivered,22:37:13,2
508,3421,Order,07:01:32,11
509,2448,Order,23:01:58,6
510,8374,Not Delivered,01:32:08,26
511,7806,Not Delivered,00:10:34,3
512,9499,Order,07:36:22,6
513,5758,Delivered,19:11:25,11
514,4324,Order,09:34:29,7
515,9947,Order,23:31:14,5
516,1938,Not Delivered,00:59:43,20
517,7361,Delivered,06:47:10,28
518,469,Order,10:23:57,10
519,2810,Order,02:54:44,33
520,5805,Order,03:09:50,34
521,4864,Delivered,01:02:46,31
522,7717,Order,14:17:08,27
523,5088,Not Delivered,18:54:11,27
524,3000,Delivered,04:58:01,5
525,4577,Not Delivered,08:01:59,22
526,441,Delivered,23:57:01,6
527,3598,Order,15:05:02,14
528,5910,Order,01:06:41,13
529,1312,Order,18:49:49,9
530,9653,Order,14:23:36,2
531,4848,Order,01:47:55,12
532,2411,Delivered,22:28:58,29
533,7425,Not Delivered,14:36:41,3
534,7099,Order,21:52:51,19
535,429,Order,21:59:02,4
536,4361,Not Delivered,12:35:42,14
537,8491,Not Delivered,21:50:05,8
538,152,Delivered,02:25:51,19
539,6501,Delivered,10:06:54,29
540,2080,Delivered,07:22:31,29
541,5254,Order,23:33:25,21
542,2262,Order,06:23:47,9
543,7344,Delivered,23:41:25,30
544,5792,Not Delivered,20:57:04,30
545,4708,Not Delivered,09:02:00,19
546,436,Not Delivered,23:09:43,13
547,3078,Delivered,04:36:50,18
548,279,Order,11:50:24,19
549,1308,Order,06:42:49,2
550,1151,Delivered,06:58:48,15
551,9388,Not Delivered,00:12:30,9
552,663,Delivered,01:25:31,26
553,5827,Order,12:54:30,22
554,3637,Not Delivered,07:01:21,33
555,8800,Not Delivered,11:14:57,19
556,1808,Not Delivered,08:02:39,19
557,3286,Delivered,21:58:12,33
558,5273,Not Delivered,03:38:53,15
559,2581,Delivered,09:38:29,1
560,4415,Order,16:18:03,31
561,30,Order,19:40:38,32
562,8837,Delivered,03:12:46,29
563,4416,Delivered,17:54:17,24
564,5094,Delivered,17:32:31,9
565,4909,Not Delivered,08:32:22,23
566,4219,Order,09:07:02,16
567,2162,Order,20:41:36,1
568,7031,Order,06:15:50,26
569,4377,Order,03:33:25,7
570,7411,Not Delivered,04:50:56,24
571,6558,Delivered,23:00:39,15
572,2714,Order,15:52:19,29
573,259,Delivered,08:30:08,2
574,5070,Not Delivered,15:30:53,26
575,9041,Delivered,22:33:30,22
576,1941,Order,19:33:11,22
577,833,Not Delivered,04:29:13,34
578,2959,Delivered,14:14:34,13
579,2577,Delivered,09:03:41,17
580,2315,Not Delivered,16:33:12,30
581,2983,Delivered,03:58:46,6
582,87,Delivered,06:59:47,11
583,96,Delivered,07:53:03,16
584,928,Not Delivered,18:10:50,22
585,4573,Order,15:25:41,34
586,7351,Not Delivered,12:00:16,27
587,6223,Delivered,06:27:33,19
588,5991,Not Delivered,00:46:28,2
589,1353,Order,03:12:52,30
590,384,Order,03:46:17,5
591,2063,Delivered,22:18:50,23
592,9004,Not Delivered,17:44:43,28
593,9448,Not Delivered,12:31:07,14
594,4061,Not Delivered,05:44:48,14
595,937,Not Delivered,21:32:57,13
596,6103,Delivered,14:23:29,13
597,6272,Not Delivered,16:57:47,8
598,9116,Order,22:21:26,14
599,4440,Order,02:40:31,19
600,1319,Order,13:08:24,20
601,6575,Not Delivered,09:31:36,12
602,1092,Delivered,13:37:31,30
603,3751,Not Delivered,03:34:17,9
604,7043,Order,17:50:01,26
605,6996,Not Delivered,18:40:24,14
606,558,Not Delivered,04:44:00,14
607,422,Order,06:58:28,32
608,9985,Not Delivered,18:53:49,33
609,8046,Delivered,18:05:12,14
610,2293,Order,14:20:31,27
611,5569,Not Delivered,08:10:52,7
612,4770,Not Delivered,01:51:42,11
613,587,Order,00:00:00,18
614,3516,Order,15:28:00,29
615,7143,Not Delivered,02:01:47,15
616,613,Order,08:45:22,15
617,5107,Not Delivered,10:36:31,10
618,7914,Delivered,15:30:33,30
619,2011,Not Delivered,20:08:10,25
620,5615,Order,03:11:14,13
621,1458,Delivered,13:50:13,5
622,7356,Order,07:15:42,3
623,6289,Order,04:28:44,34
624,716,Delivered,13:14:23,14
625,3968,Delivered,00:26:35,4
626,6162,Not Delivered,00:49:57,2
627,9095,Delivered,02:39:16,23
628,6705,Delivered,21:37:39,11
629,503,Not Delivered,08:00:44,22
630,4877,Not Delivered,23:03:36,18
631,530,Order,11:15:50,29
632,2488,Order,07:28:01,15
633,5235,Not Delivered,23:18:25,29
634,6029,Delivered,23:42:19,4
635,573,Order,18:28:47,9
636,3656,Not Delivered,09:33:00,28
637,5417,Order,17:25:20,4
638,215,Delivered,10:13:21,4
639,9966,Not Delivered,18:28:17,23
640,9276,Not Delivered,17:19:01,21
641,9385,Delivered,02:05:20,24
642,4561,Order,03:40:38,14
643,2627,Order,19:31:04,31
644,2066,Order,18:01:22,7
645,1978,Order,14:12:21,21
646,6551,Delivered,05:26:06,8
647,2482,Order,20:33:00,12
648,5087,Order,01:40:40,32
649,3977,Order,11:22:07,15
650,5992,Not Delivered,11:01:31,34
651,5908,Not Delivered,20:02:45,34
652,4994,Not Delivered,09:22:58,29
653,1529,Not Delivered,17:40:01,24
654,2851,Not Delivered,21:47:12,14
655,5868,Order,23:40:00,32
656,1565,Not Delivered,10:26:23,25
657,372,Not Delivered,01:06:03,16
658,5146,Delivered,18:53:06,27
659,3255,Order,22:43:47,5
660,521,Order,19:43:12,14
661,1097,Order,18:24:20,30
662,1291,Delivered,22:20:21,19
663,7945,Order,04:25:39,8
664,840,Not Delivered,02:14:09,16
665,3884,Order,18:50:48,30
666,8944,Order,14:43:54,16
667,7009,Not Delivered,17:40:25,7
668,2346,Delivered,16:10:02,2
669,4248,Order,11:31:43,23
670,6312,Not Delivered,03:07:48,18
671,6699,Delivered,17:51:34,22
672,1504,Delivered,04:41:01,29
673,654,Delivered,16:47:29,28
674,4989,Order,21:05:07,11
675,4814,Order,14:23:40,7
676,3192,Delivered,02:50:48,31
677,450,Delivered,03:51:12,29
678,2844,Order,17:35:10,21
679,2217,Order,08:48:00,29
680,5134,Delivered,21:41:49,8
681,8093,Not Delivered,16:45:11,30
682,5254,Order,04:18:03,14
683,3802,Not Delivered,14:30:33,6
684,8701,Delivered,03:21:51,6
685,7869,Delivered,12:21:24,18
686,2051,Not Delivered,11:21:07,21
687,6022,Order,06:50:57,24
688,6293,Not Delivered,04:27:32,12
689,8206,Order,14:17:18,17
690,4979,Not Delivered,14:10:37,4
691,3680,Order,11:43:31,2
692,1951,Not Delivered,17:53:00,7
693,2015,Not Delivered,00:23:35,15
694,9727,Not Delivered,14:38:40,23
695,4809,Not Delivered,09:40:03,17
696,5534,Not Delivered,13:01:04,23
697,7552,Order,11:29:46,23
698,9301,Delivered,18:02:08,24
699,4803,Order,10:36:53,14
700,7464,Order,01:33:19,18
701,4935,Order,08:29:41,21
702,4188,Delivered,22:07:04,17
703,3968,Order,19:54:09,8
704,6920,Order,02:48:49,14
705,3919,Delivered,10:52:56,18
706,6429,Order,05:40:15,29
707,7375,Not Delivered,08:21:02,12
708,2494,Order,05:20:27,16
709,575,Order,11:47:09,33
710,1215,Not Delivered,11:35:09,26
711,2617,Delivered,19:51:23,29
712,3102,Order,02:54:35,3
713,2447,Order,11:15:21,34
714,3392,Not Delivered,14:36:16,31
715,757,Order,18:47:10,16
716,3622,Delivered,10:06:47,17
717,2634,Delivered,15:20:51,1
718,757,Not Delivered,01:08:04,5
719,6864,Not Delivered,12:15:09,15
720,5835,Delivered,00:27:38,10
721,4787,Order,03:26:12,32
722,5620,Delivered,19:01:31,29
723,9017,Order,21:21:38,28
724,4782,Delivered,17:50:42,9
725,5530,Order,03:20:40,8
726,225,Order,02:45:45,25
727,3884,Not Delivered,04:49:42,11
728,5908,Order,18:52:26,22
729,9140,Not Delivered,04:13:37,5
730,4378,Delivered,14:27:16,13
731,5686,Order,10:47:22,25
732,8791,Not Delivered,16:01:50,27
733,8696,Order,11:21:32,20
734,1420,Order,21:57:11,33
735,9485,Not Delivered,19:11:04,4
736,9151,Delivered,14:10:18,33
737,8117,Order,20:26:55,34
738,6564,Delivered,08:30:21,17
739,827,Delivered,14:48:46,10
740,7022,Delivered,09:27:31,12
741,9285,Order,16:36:12,13
742,6489,Not Delivered,16:21:06,7
743,5226,Delivered,17:26:51,23
744,4679,Delivered,01:08:03,4
745,2588,Not Delivered,21:10:43,6
746,5845,Delivered,23:08:14,4
747,9626,Order,04:41:55,4
748,9328,Order,21:28:33,13
749,9688,Delivered,13:26:43,17
750,7578,Order,17:15:07,33
751,8131,Not Delivered,07:08:45,24
752,4973,Delivered,13:03:00,8
753,6606,Not Delivered,05:34:08,7
754,3732,Delivered,23:12:19,16
755,2336,Order,15:19:25,17
756,6499,Not Delivered,23:46:31,34
757,2733,Order,21:10:12,5
758,2550,Delivered,16:12:40,19
759,6911,Order,04:27:18,27
760,924,Not Delivered,06:38:51,4
761,7159,Order,22:24:48,15
762,31,Delivered,16:46:29,26
763,1686,Not Delivered,00:38:08,33
764,536,Delivered,20:30:56,27
765,1141,Order,20:55:24,3
766,389,Not Delivered,04:38:58,6
767,7872,Order,10:00:25,29
768,7270,Order,03:59:44,32
769,6934,Not Delivered,12:10:24,31
770,3302,Order,07:12:43,25
771,5846,Delivered,15:08:08,7
772,4925,Not Delivered,20:19:07,2
773,8021,Delivered,07:08:26,11
774,3929,Not Delivered,01:35:18,31
775,5314,Order,10:24:47,17
776,1799,Delivered,21:31:05,21
777,5808,Not Delivered,11:17:56,14
778,1349,Order,19:12:55,4
779,5875,Order,16:01:36,29
780,4096,Order,17:43:33,6
781,5260,Not Delivered,10:53:01,8
782,6442,Not Delivered,17:27:38,32
783,5002,Delivered,01:51:29,9
